Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,MATAMATA-PIAKO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"21,625","9,096",1,50.0%,,,0,0.0%,,,,,,,"21,607",18,0.08%,"21,625",31600,68.4%,"21,607",18,"21,625","9,083",42.0%,13,72.2%,"9,096",42.1%,47,0.5%,1,7.7%,48,0.5%,36,76.6%,1,100.0%,37,77.1%,9,0.1%,938,10.3%,947,10.4%,0,0.0%,0,0.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,NORTH WAIKATO-HAURAKI,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Unopposed,1,1,1,1.00,"21,830",,1,100.0%,,,1,100.0%,,,,,,,"21,776",54,0.25%,"21,830",34300,63.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,SOUTH WAIKATO-ROTORUA,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"17,108","6,607",1,50.0%,,,1,100.0%,,,,,,,"17,094",14,0.08%,"17,108",26600,64.3%,"17,094",14,"17,108","6,592",38.6%,15,107.1%,"6,607",38.6%,69,1.0%,2,13.3%,71,1.1%,61,88.4%,2,100.0%,63,88.7%,7,0.1%,616,9.3%,623,9.4%,0,0.0%,0,0.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,TAUPO,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"23,127","12,692",1,50.0%,,,1,100.0%,,,,,,,"22,351",776,3.36%,"23,127",33400,69.2%,"22,351",776,"23,127","12,076",54.0%,616,79.4%,"12,692",54.9%,150,1.2%,21,3.4%,171,1.3%,134,89.3%,18,85.7%,152,88.9%,6,0.0%,"1,683",13.3%,"1,689",13.3%,1,50.0%,1,100.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,THAMES-COROMANDEL,RC,FPP,n,Waikato,Regional,Regional,,,,,,,,,,,Contested,1,0,3,3.00,"26,159","14,828",1,33.3%,,,1,100.0%,,,,,,,"25,190",969,3.70%,"26,159",33400,78.3%,"25,190",969,"26,159","13,953",55.4%,875,90.3%,"14,828",56.7%,125,0.9%,101,11.5%,226,1.5%,48,38.4%,40,39.6%,88,38.9%,21,0.1%,"1,722",11.6%,"1,743",11.8%,0,0.0%,0,0.0%,
WAIKATO REGION,WAIKATO REGIONAL COUNCIL,WAIPA-KING COUNTRY,RC,FPP,n,Waikato,Regional,Regional,,Y,5.45 pm,13th October 10.45 am,Alphabetical,N/A,N/A,,,,Contested,2,0,4,2.00,"21,626","8,924",1,25.0%,,,0,0.0%,,,,,,,"43,058",193,0.45%,"43,251",63900,67.7%,"43,058",106,"43,164","17,767",41.3%,81,76.4%,"17,848",41.3%,106,0.6%,20,24.7%,126,0.7%,103,97.2%,20,100.0%,123,97.6%,29,0.2%,"1,993",11.2%,"2,022",11.3%,1,25.0%,0,0.0%,
WAIMAKARIRI DISTRICT,KAIAPOI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,0,8,1.33,"1,526",633,,,,,,,,,5,62.5%,4,66.7%,"9,152",4,0.04%,"9,156",13000,70.4%,"9,152",4,"9,156","3,794",41.5%,4,100.0%,"3,798",41.5%,20,0.5%,4,100.0%,24,0.6%,18,90.0%,3,75.0%,21,87.5%,3,0.1%,102,2.7%,105,2.8%,5,62.5%,4,66.7%,
WAIMAKARIRI DISTRICT,RANGIORA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,0,11,1.83,"1,771",814,,,,,,,,,6,54.5%,2,33.3%,"10,622",6,0.06%,"10,628",14300,74.3%,"10,622",6,"10,628","4,880",45.9%,6,100.0%,"4,886",46.0%,18,0.4%,4,66.7%,22,0.5%,17,94.4%,4,100.0%,21,95.5%,12,0.2%,101,2.1%,113,2.3%,3,27.3%,3,50.0%,
WAIMAKARIRI DISTRICT,WOODEND-ASHLEY COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,0,7,1.17,"1,097",436,,,,,,,,,5,71.4%,4,66.7%,"6,569",13,0.20%,"6,582",9430,69.8%,"6,569",13,"6,582","2,604",39.6%,10,76.9%,"2,614",39.7%,10,0.4%,2,20.0%,12,0.5%,10,100.0%,1,50.0%,11,91.7%,0,0.0%,173,6.6%,173,6.6%,1,14.3%,0,0.0%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,KAIAPOI,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,3,0,6,2.00,"3,052","1,266",3,50.0%,,,2,66.7%,2,,1,16.7%,1,33.3%,"9,152",4,0.04%,"9,156",13000,70.4%,"9,152",4,"9,156","3,794",41.5%,4,100.0%,"3,798",41.5%,20,0.5%,4,100.0%,24,0.6%,18,90.0%,3,75.0%,21,87.5%,6,0.2%,64,1.7%,70,1.8%,2,33.3%,0,0.0%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,OXFORD-EYRE,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,0,4,2.00,"3,664","1,447",2,50.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"7,322",6,0.08%,"7,328",10150,72.2%,"7,322",6,"7,328","2,888",39.4%,6,100.0%,"2,894",39.5%,6,0.2%,0,0.0%,6,0.2%,6,100.0%,0,,6,100.0%,0,0.0%,84,2.9%,84,2.9%,2,50.0%,0,0.0%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,RANGIORA,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,3,0,6,2.00,"3,543","1,629",3,50.0%,,,1,33.3%,1,,1,16.7%,1,33.3%,"10,622",6,0.06%,"10,628",14300,74.3%,"10,622",6,"10,628","4,880",45.9%,6,100.0%,"4,886",46.0%,18,0.4%,4,66.7%,22,0.5%,17,94.4%,4,100.0%,21,95.5%,15,0.3%,46,0.9%,61,1.2%,1,16.7%,0,0.0%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,WOODEND-ASHLEY,DC,FPP,s,Canterbury,Provincial,District,,Y,1.00 pm,10th October 4.00 pm,Random,N/A,N/A,"33,694",278,26,Contested,2,0,3,1.50,"3,291","1,307",2,66.7%,,,1,50.0%,1,,1,33.3%,1,50.0%,"6,569",13,0.20%,"6,582",9430,69.8%,"6,569",13,"6,582","2,604",39.6%,10,76.9%,"2,614",39.7%,10,0.4%,2,20.0%,12,0.5%,10,100.0%,1,50.0%,11,91.7%,3,0.1%,72,2.8%,75,2.9%,2,66.7%,1,50.0%,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,0,5,5.00,"33,694","14,192",3,60.0%,2,Defeated,0,0.0%,1,,,,,,"33,665",29,0.09%,"33,694",46880,71.9%,"33,665",29,"33,694","14,166",42.1%,26,89.7%,"14,192",42.1%,54,0.4%,10,38.5%,64,0.5%,51,94.4%,8,80.0%,59,92.2%,25,0.2%,217,1.5%,242,1.7%,1,20.0%,0,0.0%,
WAIMATE DISTRICT,WAIMATE DISTRICT COUNCIL,HAKATARAMEA-WAIHAORUNGA,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,561,,1,100.0%,,,1,100.0%,1,,,,,,558,3,0.53%,561,830,67.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIMATE DISTRICT,WAIMATE DISTRICT COUNCIL,LOWER WAIHAO,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,592,288,1,33.3%,,,1,100.0%,1,,,,,,584,8,1.35%,592,930,63.7%,584,8,592,281,48.1%,7,87.5%,288,48.6%,0,0.0%,0,0.0%,0,0.0%,0,,0,,0,,0,0.0%,1,0.3%,1,0.3%,2,66.7%,0,0.0%,
WAIMATE DISTRICT,WAIMATE DISTRICT COUNCIL,PAREORA-OTAIO-MAKIKIHI,DC,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Contested,2,0,3,1.50,612,270,2,66.7%,,,2,100.0%,2,,,,,,"1,221",3,0.25%,"1,224",1780,68.8%,"1,221",3,"1,224",537,44.0%,3,100.0%,540,44.1%,0,0.0%,0,0.0%,0,0.0%,0,,0,,0,,1,0.2%,10,1.9%,11,2.0%,0,0.0%,0,0.0%,
WAIMATE DISTRICT,WAIMATE DISTRICT COUNCIL,WAIMATE,DC,FPP,s,Canterbury,Rural,District,,N,N/A,2.00 pm,Alphabetical,N/A,N/A,"5,467",28,6,Contested,4,0,8,2.00,773,476,3,37.5%,,,1,25.0%,1,,,,,,"3,087",3,0.10%,"3,090",3950,78.2%,"3,087",3,"3,090","1,899",61.5%,3,100.0%,"1,902",61.6%,12,0.6%,0,0.0%,12,0.6%,12,100.0%,0,,12,100.0%,5,0.3%,3,0.2%,8,0.4%,3,37.5%,2,50.0%,
WAIMATE DISTRICT,WAIMATE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"5,467",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"5,450",17,0.31%,"5,467",7490,73.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIPA DISTRICT,CAMBRIDGE COMMUNITY BOARD,CAMBRIDGE,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,9,2.25,"2,977","1,282",,,,,,,,,2,22.2%,2,50.0%,"11,901",8,0.07%,"11,909",16100,74.0%,"11,901",8,"11,909","5,118",43.0%,8,100.0%,"5,126",43.0%,32,0.6%,4,50.0%,36,0.7%,31,96.9%,4,100.0%,35,97.2%,10,0.2%,291,5.7%,301,5.9%,2,22.2%,0,0.0%,
WAIPA DISTRICT,CAMBRIDGE COMMUNITY BOARD,MAUNGATAUTARI,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,463",,,,,,,,,,1,100.0%,1,100.0%,"2,461",2,0.08%,"2,463",3820,64.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIPA DISTRICT,TE AWAMUTU COMMUNITY BOARD,KAKEPUKU,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,374",,,,,,,,,,1,100.0%,1,100.0%,"2,368",6,0.25%,"2,374",3670,64.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIPA DISTRICT,TE AWAMUTU COMMUNITY BOARD,TE AWAMUTU,CB,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,7,1.75,"2,388","1,020",,,,,,,,,3,42.9%,2,50.0%,"9,548",5,0.05%,"9,553",13950,68.5%,"9,548",5,"9,553","4,076",42.7%,5,100.0%,"4,081",42.7%,18,0.4%,4,80.0%,22,0.5%,16,88.9%,4,100.0%,20,90.9%,0,0.0%,96,2.4%,96,2.4%,3,42.9%,1,25.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,CAMBRIDGE,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,4,0,12,3.00,"2,977","1,282",3,25.0%,,,2,50.0%,2,,1,8.3%,0,0.0%,"11,901",8,0.07%,"11,909",16100,74.0%,"11,901",8,"11,909","5,118",43.0%,8,100.0%,"5,126",43.0%,32,0.6%,4,50.0%,36,0.7%,31,96.9%,4,100.0%,35,97.2%,23,0.4%,155,3.0%,178,3.5%,4,33.3%,2,50.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,KAKEPUKU,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,374",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,368",6,0.25%,"2,374",3670,64.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,MAUNGATAUTARI,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,463",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"2,461",2,0.08%,"2,463",3820,64.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,PIRONGIA,DC,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,2,0,3,1.50,"2,633",981,2,66.7%,,,2,100.0%,2,,0,0.0%,0,0.0%,"5,262",3,0.06%,"5,265",7610,69.2%,"5,262",3,"5,265","1,958",37.2%,3,100.0%,"1,961",37.2%,9,0.5%,2,66.7%,11,0.6%,9,100.0%,2,100.0%,11,100.0%,1,0.1%,113,5.8%,114,5.8%,1,33.3%,1,50.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,TE AWAMUTU,DC,FPP,n,Waikato,Provincial,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"31,564",323,42,Contested,4,0,8,2.00,"2,388","1,020",4,50.0%,,,2,50.0%,2,,1,12.5%,1,25.0%,"9,548",5,0.05%,"9,553",13950,68.5%,"9,548",5,"9,553","4,076",42.7%,5,100.0%,"4,081",42.7%,18,0.4%,4,80.0%,22,0.5%,16,88.9%,4,100.0%,20,90.9%,70,1.7%,70,1.7%,140,3.4%,2,25.0%,1,25.0%,
WAIPA DISTRICT,WAIPA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"31,564","12,908",2,50.0%,0,Re-elected,1,100.0%,1,,,,,,"31,540",24,0.08%,"31,564",45150,69.9%,"31,540",24,"31,564","12,885",40.9%,23,95.8%,"12,908",40.9%,70,0.5%,10,43.5%,80,0.6%,67,95.7%,10,100.0%,77,96.3%,30,0.2%,152,1.2%,182,1.4%,0,0.0%,0,0.0%,
WAIRARAPA DHB,WAIRARAPA DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,Y,5.06 pm,10th October 5.04 pm,Alphabetical,,,,,,Unopposed,7,0,13,1.86,"4,272","2,301",,,,,,,,,6,46.2%,5,71.4%,"29,907",,,"29,907",39900,75.0%,"29,907",,"29,907","16,110",53.9%,,,"16,110",53.9%,214,1.3%,,,214,1.3%,214,100.0%,,,214,100.0%,884,5.5%,747,4.6%,"1,631",10.1%,7,53.8%,5,71.4%,
WAIROA DISTRICT,WAIROA DISTRICT COUNCIL,AT LARGE,DC,FPP,n,Hawke's Bay,Rural,District,,N,N/A,3.00 pm,Alphabetical,N/A,N/A,"5,281",61,15,Unopposed,6,0,15,2.50,"4,985",505,5,33.3%,,,4,66.7%,4,57.1%,,,,,"29,907",0,0.00%,"29,907",8420,62.7%,"29,907",0,"29,907","2,975",9.9%,57,,"3,032",10.1%,31,1.0%,7,12.3%,38,1.3%,26,83.9%,5,71.4%,31,81.6%,16,0.5%,27,0.9%,43,1.4%,5,33.3%,2,33.3%,
WAIROA DISTRICT,WAIROA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,Contested,1,0,5,5.00,"5,281","3,032",2,40.0%,3,Re-elected,1,100.0%,1,,,,,,"5,218",63,1.19%,"5,281",8420,62.7%,"5,218",63,"5,281","2,975",57.0%,57,90.5%,"3,032",57.4%,31,1.0%,7,12.3%,38,1.3%,26,83.9%,5,71.4%,31,81.6%,8,0.3%,63,2.1%,71,2.3%,2,40.0%,0,0.0%,
WAITAKI DISTRICT,AHURIRI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Provincial,District,,,,,,,,,,,Unopposed,5,0,6,1.20,180,93,,,,,,,,,3,50.0%,3,60.0%,871,30,3.33%,901,1200,75.1%,871,30,901,436,50.1%,28,93.3%,464,51.5%,1,0.2%,0,0.0%,1,0.2%,1,100.0%,0,,1,100.0%,0,0.0%,9,1.9%,9,1.9%,1,16.7%,1,20.0%,
WAITAKI DISTRICT,WAIHEMO COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Provincial,District,,,,,,,,,,,Unopposed,5,4,4,0.80,344,,,,,,,,,,3,75.0%,3,60.0%,"1,696",23,1.34%,"1,719",2240,76.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.0%,2,40.0%,1
WAITAKI DISTRICT,WAITAKI DISTRICT COUNCIL,AHURIRI,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,898,,0,0.0%,,,0,0.0%,0,,1,100.0%,1,100.0%,871,27,3.01%,898,1200,74.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAITAKI DISTRICT,WAITAKI DISTRICT COUNCIL,CORRIEDALE,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"1,587",904,1,20.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"3,159",15,0.47%,"3,174",4550,69.8%,"3,159",15,"3,174","1,795",56.8%,13,86.7%,"1,808",57.0%,4,0.2%,0,0.0%,4,0.2%,2,50.0%,0,,2,50.0%,1,0.1%,60,3.3%,61,3.4%,0,0.0%,0,0.0%,
WAITAKI DISTRICT,WAITAKI DISTRICT COUNCIL,OAMARU,DC,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,6,0,17,2.83,"1,640",982,3,17.6%,,,3,50.0%,3,,0,0.0%,0,0.0%,"9,822",15,0.15%,"9,837",12750,77.2%,"9,822",15,"9,837","5,880",59.9%,12,80.0%,"5,892",59.9%,19,0.3%,0,0.0%,19,0.3%,19,100.0%,0,,19,100.0%,23,0.4%,71,1.2%,94,1.6%,2,11.8%,2,33.3%,
WAITAKI DISTRICT,WAITAKI DISTRICT COUNCIL,WAIHEMO,DC,FPP,s,Otago,Provincial,District,,Y,12.29 pm,10th October 3.32 pm,Alphabetical,N/A,N/A,"15,631",160,2,Unopposed,1,1,1,1.00,"1,719",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,696",23,1.34%,"1,719",2240,76.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
WAITAKI DISTRICT,OAMARU LICENSING TRUST,WARD 1,LT,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,3,0,4,1.33,"2,823","1,672",,,,,,,,,2,50.0%,2,66.7%,"8,468",,,"8,468",,,"8,468",,"8,468","5,015",59.2%,,,"5,015",59.2%,16,0.3%,,,16,0.3%,16,100.0%,,,16,100.0%,1,0.0%,232,4.6%,233,4.6%,0,0.0%,0,0.0%,
WAITAKI DISTRICT,OAMARU LICENSING TRUST,WARD 2,LT,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"3,360","2,040",,,,,,,,,1,50.0%,1,100.0%,"3,360",,,"3,360",,,"3,360",,"3,360","2,040",60.7%,,,"2,040",60.7%,5,0.2%,,,5,0.2%,5,100.0%,,,5,100.0%,0,0.0%,209,10.2%,209,10.2%,1,50.0%,1,100.0%,
WAITAKI DISTRICT,OAMARU LICENSING TRUST,WARD 3,LT,FPP,s,Otago,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"4,505",,,,,,,,,,1,100.0%,1,100.0%,"4,505",,,"4,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WAITAKI DISTRICT,WAITAKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"15,628","9,047",1,25.0%,1,Re-elected,1,100.0%,1,,,,,,"15,548",80,0.51%,"15,628",20740,75.4%,"15,548",80,"15,628","8,976",57.7%,71,88.8%,"9,047",57.9%,24,0.3%,4,5.6%,28,0.3%,24,100.0%,2,50.0%,26,92.9%,14,0.2%,138,1.5%,152,1.7%,0,0.0%,0,0.0%,
WAITEMATA DHB,WAITEMATA DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Auckland,DHB,DHB,,N,N/A,10th October 11.39 am,Alphabetical,,,,,,Unopposed,7,0,31,4.43,"51,307","25,880",,,,,,,,,7,22.6%,3,42.9%,"359,148",,,"359,148",528500,68.0%,"359,148",,"359,148","181,163",50.4%,,,"181,163",50.4%,"2,032",1.1%,,,2032,1.1%,992,48.8%,,,992,48.8%,"11,628",6.4%,"21,450",11.8%,"33,078",18.3%,14,45.2%,3,42.9%,
WAITOMO DISTRICT,WAITOMO DISTRICT COUNCIL,TE KUITI,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,3,0,6,2.00,904,461,1,16.7%,,,1,33.3%,1,,,,,,"2,708",4,0.15%,"2,712",9620,60.5%,"2,708",4,"2,712","1,378",50.9%,4,100.0%,"1,382",51.0%,7,0.5%,3,75.0%,10,0.7%,7,100.0%,3,100.0%,10,100.0%,4,0.3%,17,1.2%,21,1.5%,3,50.0%,2,66.7%,
WAITOMO DISTRICT,WAITOMO DISTRICT COUNCIL,WAITOMO RURAL,DC,FPP,n,Waikato,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"5,818",59,7,Contested,3,0,4,1.33,"1,035",490,1,25.0%,,,0,0.0%,0,,,,,,"3,088",18,0.58%,"3,106",4530,59.9%,"3,088",18,"3,106","1,453",47.1%,16,88.9%,"1,469",47.3%,4,0.3%,0,0.0%,4,0.3%,4,100.0%,0,,4,100.0%,0,0.0%,51,3.5%,51,3.5%,1,25.0%,0,0.0%,
WAITOMO DISTRICT,WAITOMO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"5,818","2,851",2,100.0%,0,Defeated,0,0.0%,1,,,,,,"5,796",22,0.38%,"5,818",5090,61.0%,"5,796",22,"5,818","2,831",48.8%,20,90.9%,"2,851",49.0%,11,0.4%,3,15.0%,14,0.5%,11,100.0%,3,100.0%,14,100.0%,0,0.0%,39,1.4%,39,1.4%,0,0.0%,0,0.0%,
WANGANUI DISTRICT,RURAL COMMUNITY BOARD,KAI IWI,CB,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1.00,611,,,,,,,,,,1,33.3%,1,33.3%,"1,826",8,0.44%,"1,834",2420,75.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WANGANUI DISTRICT,RURAL COMMUNITY BOARD,KAITOKE,CB,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,2,0,3,1.50,572,373,,,,,,,,,2,66.7%,1,50.0%,"1,142",1,0.09%,"1,143",1500,76.2%,"1,142",1,"1,143",744,65.1%,1,100.0%,745,65.2%,20,2.7%,0,0.0%,20,2.7%,20,100.0%,0,,20,100.0%,0,0.0%,75,10.1%,75,10.1%,0,0.0%,0,0.0%,
WANGANUI DISTRICT,RURAL COMMUNITY BOARD,WHANGANUI,CB,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,423,,,,,,,,,,2,100.0%,2,100.0%,833,12,1.42%,845,1190,71.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
WANGANUI DISTRICT,WANGANUI DISTRICT COUNCIL,AT LARGE,DC,FPP,n,Manawatu-Wanganui,Provincial,District,,N,N/A,2.00 pm,Alphabetical,N/A,Should the council investigate establishing a unitary authority that covers the Wanganui district and assumes the functions of the Horizons Regional Council? AND Should the council retain its policy of gradually reducing the number of gaming machines in the Wanganui district?,"30,966",336,25,Unopposed,12,0,32,2.67,70,"1,562",10,31.3%,,,9,75.0%,9,69.2%,0,0.0%,0,0.0%,833,12,1.42%,845,43400,71.5%,833,12,845,"18,676",2242.0%,64,533.3%,"18,740",2217.8%,236,1.3%,7,10.9%,243,1.3%,224,94.9%,7,100.0%,231,95.1%,103,0.5%,73,0.4%,176,0.9%,11,34.4%,3,25.0%,
WANGANUI DISTRICT,WANGANUI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Provincial,District,,,,,,,,,,,Contested,1,0,5,5.00,"31,037","18,740",2,40.0%,4,Stood down,0,0.0%,0,,,,,,"30,966",71,0.23%,"31,037",43400,71.5%,"30,966",71,"31,037","18,676",60.3%,64,90.1%,"18,740",60.4%,236,1.3%,7,10.9%,243,1.3%,224,94.9%,7,100.0%,231,95.1%,41,0.2%,272,1.5%,313,1.7%,3,60.0%,1,100.0%,
WELLINGTON CITY,MAKARA-OHARIU COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1.00,98,,,,,,,,,,2,33.3%,2,33.3%,588,2,0.34%,590,820,72.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50.0%,3,50.0%,
WELLINGTON CITY,TAWA COMMUNITY BOARD,AT LARGE,CB,STV,n,Wellington,Metro,City,l,,,,,,,,,,Contested,6,0,9,1.50,"1,670",666,,,,,,,,,6,66.7%,4,66.7%,"10,003",14,0.14%,"10,017",14650,68.4%,"10,003",14,"10,017","3,986",39.8%,11,78.6%,"3,997",39.9%,18,0.5%,0,0.0%,18,0.5%,14,77.8%,0,,14,77.8%,11,0.3%,114,2.9%,125,3.1%,1,11.1%,1,16.7%,
